Text,Entities
The patient was diagnosed with Mandibular Fracture last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
The Progesterone Test shows normal right bicep function.,"{'entities': [(4, 21, 'TEST_NAME'), (35, 46, 'BODY_PART')]}"
The patient was diagnosed with Rotavirus A last year.,"{'entities': [(31, 42, 'DIAGNOSIS')]}"
Prescribe 595 mL of Oyster Shell Calcium-Vitamin D3 for pain relief.,"{'entities': [(20, 51, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Patient presents with Insulin Resistance.,"{'entities': [(22, 40, 'SYMPTOM')]}"
Patient presents with Swollen Lymph Nodes.,"{'entities': [(22, 41, 'SYMPTOM')]}"
The Phosphate in Blood shows normal left lung function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 45, 'BODY_PART')]}"
She mentioned an allergy to Nucynta.,"{'entities': [(28, 35, 'MEDICATION')]}"
The patient was diagnosed with COPD last year.,"{'entities': [(31, 35, 'DIAGNOSIS')]}"
She mentioned an allergy to brompheniramine.,"{'entities': [(28, 43, 'MEDICATION')]}"
The Pregnancy Test revealed a Acute Mastoiditis in the left upper arm.,"{'entities': [(30, 47, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (55, 69, 'BODY_PART')]}"
The patient was diagnosed with Leg Shattered Wound last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
Prescribe 175 g of Nexplanon for pain relief.,"{'entities': [(19, 28, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Candida Albicans in the patient's intestines.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 56, 'BODY_PART')]}"
She mentioned an allergy to Oyster Shell Calcium-Vitamin D3.,"{'entities': [(28, 59, 'MEDICATION')]}"
Patient presents with Axillary Lymph Nodes.,"{'entities': [(22, 42, 'SYMPTOM')]}"
The Glucose in Urine Test revealed a Leg Contusion in the left wrist.,"{'entities': [(37, 50, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (58, 68, 'BODY_PART')]}"
The Total Protein and Albumin/Globulin (A/G) Ratio  revealed a Exocrine Pancreatic Insufficiency in the left ear.,"{'entities': [(63, 96, 'DIAGNOSIS'), (4, 51, 'TEST_NAME'), (104, 112, 'BODY_PART')]}"
The Mucus in Urine revealed a Acute Bartholinitis in the left cheek.,"{'entities': [(30, 49, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (57, 67, 'BODY_PART')]}"
She mentioned an allergy to sertraline.,"{'entities': [(28, 38, 'MEDICATION')]}"
Prescribe 460 g of tolterodine for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with Nasal Findings.,"{'entities': [(22, 36, 'SYMPTOM')]}"
She mentioned an allergy to naltrexone.,"{'entities': [(28, 38, 'MEDICATION')]}"
Examine the B Cell Acute Lymphocytic Leukaemia Detected in the patient's left thumb.,"{'entities': [(12, 55, 'SYMPTOM'), (73, 83, 'BODY_PART')]}"
He has been prescribed buspirone 670 g every 7 hours.,"{'entities': [(23, 32, 'MEDICATION'), (33, 52, 'DOSAGE')]}"
Myasthenia Gravis Tests measurements indicate Simple Fracture of Clavicle.,"{'entities': [(46, 73, 'DIAGNOSIS'), (0, 23, 'TEST_NAME')]}"
Examine the Testicular Pain in the patient's left foot.,"{'entities': [(12, 27, 'SYMPTOM'), (45, 54, 'BODY_PART')]}"
Prescribe 795 L of norgestimate for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 935 mL every 44 hours of ofloxacin for pain relief.,"{'entities': [(35, 44, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Urobilinogen in Urine revealed a Elbow Bursitis in the right neck.,"{'entities': [(37, 51, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (59, 69, 'BODY_PART')]}"
Prescribe 430 mL of pseudoephedrine for pain relief.,"{'entities': [(20, 35, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Examine the Clue Cells in the patient's right knee.,"{'entities': [(12, 22, 'SYMPTOM'), (40, 50, 'BODY_PART')]}"
Examine the Nasal Congestion in the patient's right upper arm.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 61, 'BODY_PART')]}"
The Progesterone Test revealed a Epididymitis Orchitis in the right shoulder.,"{'entities': [(33, 54, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (62, 76, 'BODY_PART')]}"
She mentioned an allergy to Ventolin.,"{'entities': [(28, 36, 'MEDICATION')]}"
Prescribe 920 mg of Medrol for pain relief.,"{'entities': [(20, 26, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The Allergy Blood Test revealed a Stress Incontinence in the left knee.,"{'entities': [(34, 53, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (61, 70, 'BODY_PART')]}"
He has been prescribed tapentadol 80 mg.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
The Opioid Testing revealed a Tuberculosis in the right knee.,"{'entities': [(30, 42, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (50, 60, 'BODY_PART')]}"
The Diabetes Tests revealed a Tetanus in the right chin.,"{'entities': [(30, 37, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (45, 55, 'BODY_PART')]}"
The Ova and Parasite Test revealed a Balanitis in the left eye.,"{'entities': [(37, 46, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (54, 62, 'BODY_PART')]}"
Examine the BRAF V599E Mutation Detected in the patient's right eye.,"{'entities': [(12, 40, 'SYMPTOM'), (58, 67, 'BODY_PART')]}"
Patient presents with Mild Frostbite On Hands.,"{'entities': [(22, 45, 'SYMPTOM')]}"
Prescribe 360 g of sertraline for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with Thrombocytopenia Detected.,"{'entities': [(22, 47, 'SYMPTOM')]}"
The Respiratory Syncytial Virus (RSV) Tests revealed a Pyelonephritis in the right upper arm.,"{'entities': [(55, 69, 'DIAGNOSIS'), (4, 43, 'TEST_NAME'), (77, 92, 'BODY_PART')]}"
Examine the Tubal Ligation in the patient's left shoulder.,"{'entities': [(12, 26, 'SYMPTOM'), (44, 57, 'BODY_PART')]}"
Anti-MÃ¼llerian Hormone Test measurements indicate Leptospirosis.,"{'entities': [(51, 64, 'DIAGNOSIS'), (0, 28, 'TEST_NAME')]}"
Acetaminophen Level measurements indicate Acute Renal Failure.,"{'entities': [(42, 61, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
The patient was diagnosed with Aortic Rupture last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
He has been prescribed Gel-One 5 mg.,"{'entities': [(23, 30, 'MEDICATION'), (31, 35, 'DOSAGE')]}"
The patient was diagnosed with Leg Ballistic Wound last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
"Natriuretic Peptide Tests (BNP, NT-proBNP) measurements indicate Mucoepidermoid Carcinoma.","{'entities': [(65, 89, 'DIAGNOSIS'), (0, 42, 'TEST_NAME')]}"
Examine the Squamous Cell Carcinoma Found In Nose in the patient's left rib.,"{'entities': [(12, 49, 'SYMPTOM'), (67, 75, 'BODY_PART')]}"
The HIV Viral Load revealed a Pyelonephritis in the left groin.,"{'entities': [(30, 44, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (52, 62, 'BODY_PART')]}"
The Lyme Disease Tests shows normal left rib function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 44, 'BODY_PART')]}"
He has been prescribed Enulose 885 mL.,"{'entities': [(23, 30, 'MEDICATION'), (31, 37, 'DOSAGE')]}"
The Flu (Influenza) Test shows normal right heel function.,"{'entities': [(4, 24, 'TEST_NAME'), (38, 48, 'BODY_PART')]}"
CA-125 Blood Test (Ovarian Cancer) measurements indicate Leg Ballistic Wound.,"{'entities': [(57, 76, 'DIAGNOSIS'), (0, 34, 'TEST_NAME')]}"
She mentioned an allergy to Zyrtec.,"{'entities': [(28, 34, 'MEDICATION')]}"
Examine the Trypanosoma Detected in the patient's left collarbone.,"{'entities': [(12, 32, 'SYMPTOM'), (50, 65, 'BODY_PART')]}"
Parathyroid Hormone (PTH) Test measurements indicate Emphysema.,"{'entities': [(53, 62, 'DIAGNOSIS'), (0, 30, 'TEST_NAME')]}"
Strep B Test measurements indicate Hyperspermia.,"{'entities': [(35, 47, 'DIAGNOSIS'), (0, 12, 'TEST_NAME')]}"
The Ova and Parasite Test revealed a Pubic Lice in the right palm.,"{'entities': [(37, 47, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (55, 65, 'BODY_PART')]}"
The patient was diagnosed with Sarcoidosis - Eye last year.,"{'entities': [(31, 48, 'DIAGNOSIS')]}"
Prescribe 835 mg every 15 hours of hyoscyamine for pain relief.,"{'entities': [(35, 46, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
Prescribe 595 mL of birth control for pain relief.,"{'entities': [(20, 33, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The patient was diagnosed with Brucellosis last year.,"{'entities': [(31, 42, 'DIAGNOSIS')]}"
The Electrocardiogram shows normal left neck function.,"{'entities': [(4, 21, 'TEST_NAME'), (35, 44, 'BODY_PART')]}"
Fecal Occult Blood Test (FOBT) measurements indicate Vulvar Epidermoid Cyst.,"{'entities': [(53, 75, 'DIAGNOSIS'), (0, 30, 'TEST_NAME')]}"
She mentioned an allergy to Percocet.,"{'entities': [(28, 36, 'MEDICATION')]}"
The patient was diagnosed with Chlorine Gas Poisoning last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
He has been prescribed HySept 455 mg.,"{'entities': [(23, 29, 'MEDICATION'), (30, 36, 'DOSAGE')]}"
The Rash Evaluation shows normal spleen function.,"{'entities': [(4, 19, 'TEST_NAME'), (33, 39, 'BODY_PART')]}"
Postpartum Depression Screening measurements indicate Acute Rheumatic Fever.,"{'entities': [(54, 75, 'DIAGNOSIS'), (0, 31, 'TEST_NAME')]}"
Examine the CD5 Antigen Bright Expression in the patient's left thumb.,"{'entities': [(12, 41, 'SYMPTOM'), (59, 69, 'BODY_PART')]}"
She mentioned an allergy to oxandrolone.,"{'entities': [(28, 39, 'MEDICATION')]}"
The Partial Thromboplastin Time (PTT) Test revealed a Melanoma (Stage 2) in the left shin.,"{'entities': [(54, 72, 'DIAGNOSIS'), (4, 42, 'TEST_NAME'), (80, 89, 'BODY_PART')]}"
Patient presents with Renal Parenchyma Infection.,"{'entities': [(22, 48, 'SYMPTOM')]}"
He has been prescribed citalopram 260 g.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
Prescribe 915 L of Jolivette for pain relief.,"{'entities': [(19, 28, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Ear Infection Found in the patient's left hip bone.,"{'entities': [(12, 31, 'SYMPTOM'), (49, 62, 'BODY_PART')]}"
She mentioned an allergy to sennosides.,"{'entities': [(28, 38, 'MEDICATION')]}"
Examine the Bartholin's Cyst in the patient's left thumb.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 56, 'BODY_PART')]}"
Burn Evaluation measurements indicate Ovarian Cancer.,"{'entities': [(38, 52, 'DIAGNOSIS'), (0, 15, 'TEST_NAME')]}"
Examine the Colorectal Adenocarcinoma Detected in the patient's right toe.,"{'entities': [(12, 46, 'SYMPTOM'), (64, 73, 'BODY_PART')]}"
He has been prescribed fentanyl 225 mg.,"{'entities': [(23, 31, 'MEDICATION'), (32, 38, 'DOSAGE')]}"
The Down Syndrome Tests revealed a Miliaria in the right groin.,"{'entities': [(35, 43, 'DIAGNOSIS'), (4, 23, 'TEST_NAME'), (51, 62, 'BODY_PART')]}"
The IGF-1 (Insulin-like Growth Factor 1) Test revealed a Pubic Lice in the left shin.,"{'entities': [(57, 67, 'DIAGNOSIS'), (4, 45, 'TEST_NAME'), (75, 84, 'BODY_PART')]}"
He has been prescribed ivabradine 325 g.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
Patient presents with Stiffness of the Joints.,"{'entities': [(22, 45, 'SYMPTOM')]}"
HER2 Tumor Marker Test measurements indicate Adrenocortical Carcinoma (Localised).,"{'entities': [(45, 81, 'DIAGNOSIS'), (0, 22, 'TEST_NAME')]}"
The Chorionic Villus Sampling (CVS) shows normal esophagus function.,"{'entities': [(4, 35, 'TEST_NAME'), (49, 58, 'BODY_PART')]}"
She mentioned an allergy to diosmin.,"{'entities': [(28, 35, 'MEDICATION')]}"
Patient presents with Irritable Cough.,"{'entities': [(22, 37, 'SYMPTOM')]}"
The Lipoprotein (a) Blood Test shows normal right eye function.,"{'entities': [(4, 30, 'TEST_NAME'), (44, 53, 'BODY_PART')]}"
Patient presents with Butterfly Rash.,"{'entities': [(22, 36, 'SYMPTOM')]}"
Prescribe 975 L every 6 hours of Roxanol for pain relief.,"{'entities': [(33, 40, 'MEDICATION'), (10, 29, 'DOSAGE')]}"
The patient was diagnosed with Interstitial Cystitis last year.,"{'entities': [(31, 52, 'DIAGNOSIS')]}"
Examine the Diffuse Growth Pattern in the patient's esophagus.,"{'entities': [(12, 34, 'SYMPTOM'), (52, 61, 'BODY_PART')]}"
He has been prescribed pepcid 170 L.,"{'entities': [(23, 29, 'MEDICATION'), (30, 35, 'DOSAGE')]}"
The Cholesterol Levels shows normal left lung function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 45, 'BODY_PART')]}"
The patient was diagnosed with Angle-Closure Glaucoma last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
Adrenocorticotropic Hormone (ACTH) measurements indicate Seminoma Testicular Cancer: Stage III.,"{'entities': [(57, 94, 'DIAGNOSIS'), (0, 34, 'TEST_NAME')]}"
The patient was diagnosed with Basal Cell Carcinoma (Stage 1) last year.,"{'entities': [(31, 61, 'DIAGNOSIS')]}"
The patient was diagnosed with Mitral Stenosis last year.,"{'entities': [(31, 46, 'DIAGNOSIS')]}"
Prescribe 160 L of bumetanide for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 595 L of bisacodyl for pain relief.,"{'entities': [(19, 28, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with Hypovolemia.,"{'entities': [(22, 33, 'SYMPTOM')]}"
Antibody Serology Tests measurements indicate Spondylolisthesis.,"{'entities': [(46, 63, 'DIAGNOSIS'), (0, 23, 'TEST_NAME')]}"
The Lyme Disease Tests revealed a Menopause in the left sole.,"{'entities': [(34, 43, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (51, 60, 'BODY_PART')]}"
Patient presents with Frequent Falling.,"{'entities': [(22, 38, 'SYMPTOM')]}"
Prescribe 330 g of lithium carbonate for pain relief.,"{'entities': [(19, 36, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Anoscopy revealed a Shaft Fracture of Clavicle in the left chest.,"{'entities': [(24, 50, 'DIAGNOSIS'), (4, 12, 'TEST_NAME'), (58, 68, 'BODY_PART')]}"
Patient presents with Clue Cells.,"{'entities': [(22, 32, 'SYMPTOM')]}"
Prescribe 945 g every 5 hours of Ursodiol for pain relief.,"{'entities': [(33, 41, 'MEDICATION'), (10, 29, 'DOSAGE')]}"
The patient was diagnosed with Pleurisy last year.,"{'entities': [(31, 39, 'DIAGNOSIS')]}"
Patient presents with Dry Nose.,"{'entities': [(22, 30, 'SYMPTOM')]}"
Examine the Red Eye in the patient's right upper arm.,"{'entities': [(12, 19, 'SYMPTOM'), (37, 52, 'BODY_PART')]}"
The patient was diagnosed with Cardiac Blunt Injury last year.,"{'entities': [(31, 51, 'DIAGNOSIS')]}"
Patient presents with Tdt Antigen Negative Expression.,"{'entities': [(22, 53, 'SYMPTOM')]}"
The Procalcitonin Test revealed a Severe Frostbite On Legs in the right ankle.,"{'entities': [(34, 58, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (66, 77, 'BODY_PART')]}"
The Tuberculosis Screening shows normal right shoulder function.,"{'entities': [(4, 26, 'TEST_NAME'), (40, 54, 'BODY_PART')]}"
The Lactose Tolerance Tests revealed a CRVO in the right leg.,"{'entities': [(39, 43, 'DIAGNOSIS'), (4, 27, 'TEST_NAME'), (51, 60, 'BODY_PART')]}"
